make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system,aspiration_cat,num-of-doors_cat,body-style_cat,drive-wheels_cat,engine-location_cat,num-of-cylinders_cat,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price
honda,std,four,wagon,fwd,front,ohc,four,1bbl,0,0,4,1,0,2,96.5,0.754925517,0.8875,58.3,2024.0,92.0,2.92,3.41,9.2,76.0,6000.0,34.0,7295.0
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,0,1,2,1,0,2,96.5,0.80490149,0.905555556,53.3,2236.0,110.0,3.15,3.58,9.0,86.0,5800.0,33.0,7895.0
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,0,1,2,1,0,2,96.5,0.80490149,0.905555556,53.3,2289.0,110.0,3.15,3.58,9.0,86.0,5800.0,33.0,9095.0
honda,std,four,sedan,fwd,front,ohc,four,1bbl,0,0,3,1,0,2,96.5,0.842864008,0.905555556,54.1,2304.0,110.0,3.15,3.58,9.0,86.0,5800.0,33.0,8845.0
honda,std,four,sedan,fwd,front,ohc,four,1bbl,0,0,3,1,0,2,96.5,0.842864008,0.868055556,54.1,2372.0,110.0,3.15,3.58,9.0,86.0,5800.0,33.0,10295.0
honda,std,four,sedan,fwd,front,ohc,four,mpfi,0,0,3,1,0,2,96.5,0.842864008,0.905555556,54.1,2465.0,110.0,3.15,3.58,9.0,101.0,5800.0,28.0,12945.0
honda,std,two,sedan,fwd,front,ohc,four,2bbl,0,1,3,1,0,2,96.5,0.812590101,0.916666667,51.0,2293.0,110.0,3.15,3.58,9.1,100.0,5500.0,31.0,10345.0
isuzu,std,four,sedan,rwd,front,ohc,four,2bbl,0,0,3,2,0,2,94.3,0.820278712,0.858333333,53.5,2337.0,111.0,3.31,3.23,8.5,78.0,4800.0,29.0,6785.0
isuzu,std,two,hatchback,rwd,front,ohc,four,spfi,0,1,2,2,0,2,96.0,0.829408938,0.905555556,51.4,2734.0,119.0,3.43,3.23,9.2,90.0,5000.0,29.0,11048.0
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.1,0.764536281,0.891666667,54.1,1890.0,91.0,3.03,3.15,9.0,68.0,5000.0,31.0,5195.0
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.1,0.764536281,0.891666667,54.1,1900.0,91.0,3.03,3.15,9.0,68.0,5000.0,38.0,6095.0
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.1,0.764536281,0.891666667,54.1,1905.0,91.0,3.03,3.15,9.0,68.0,5000.0,38.0,6795.0
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,93.1,0.801537722,0.891666667,54.1,1945.0,91.0,3.03,3.15,9.0,68.0,5000.0,38.0,6695.0
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,93.1,0.801537722,0.891666667,54.1,1950.0,91.0,3.08,3.15,9.0,68.0,5000.0,38.0,7395.0
mazda,std,two,hatchback,rwd,front,rotor,two,4bbl,0,1,2,2,0,6,95.3,0.812109563,0.9125,49.6,2380.0,70.0,3.33071066,3.256903553299492,9.4,101.0,6000.0,23.0,10945.0
mazda,std,two,hatchback,rwd,front,rotor,two,4bbl,0,1,2,2,0,6,95.3,0.812109563,0.9125,49.6,2380.0,70.0,3.33071066,3.256903553299492,9.4,101.0,6000.0,23.0,11845.0
mazda,std,two,hatchback,rwd,front,rotor,two,4bbl,0,1,2,2,0,6,95.3,0.812109563,0.9125,49.6,2385.0,70.0,3.33071066,3.256903553299492,9.4,101.0,6000.0,23.0,13645.0
mazda,std,two,hatchback,rwd,front,rotor,two,mpfi,0,1,2,2,0,6,95.3,0.812109563,0.9125,49.6,2500.0,80.0,3.33071066,3.256903553299492,9.4,135.0,6000.0,23.0,15645.0
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,98.8,0.854396925,0.923611111,53.7,2385.0,122.0,3.39,3.39,8.6,84.0,4800.0,32.0,8845.0
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,98.8,0.854396925,0.923611111,55.5,2410.0,122.0,3.39,3.39,8.6,84.0,4800.0,32.0,8495.0
mazda,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,98.8,0.854396925,0.923611111,53.7,2385.0,122.0,3.39,3.39,8.6,84.0,4800.0,32.0,10595.0
mazda,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,98.8,0.854396925,0.923611111,55.5,2410.0,122.0,3.39,3.39,8.6,84.0,4800.0,32.0,10245.0
mazda,std,four,sedan,fwd,front,ohc,four,idi,0,0,3,1,0,2,98.8,0.854396925,0.923611111,55.5,2443.0,122.0,3.39,3.39,22.7,64.0,4650.0,42.0,10795.0
mazda,std,four,hatchback,fwd,front,ohc,four,2bbl,0,0,2,1,0,2,98.8,0.854396925,0.923611111,55.5,2425.0,122.0,3.39,3.39,8.6,84.0,4800.0,32.0,11245.0
mazda,std,four,sedan,rwd,front,ohc,four,mpfi,0,0,3,2,0,2,104.9,0.840941855,0.918055556,54.4,2670.0,140.0,3.76,3.16,8.0,120.0,5000.0,27.0,18280.0
mazda,std,four,sedan,rwd,front,ohc,four,idi,0,0,3,2,0,2,104.9,0.840941855,0.918055556,54.4,2700.0,134.0,3.43,3.64,22.0,72.0,4200.0,39.0,18344.0
mercedes-benz,turbo,four,sedan,rwd,front,ohc,five,idi,1,0,3,2,0,1,110.0,0.917347429,0.976388889,56.5,3515.0,183.0,3.58,3.64,21.5,123.0,4350.0,25.0,25552.0
mercury,turbo,two,hatchback,rwd,front,ohc,four,mpfi,1,1,2,2,0,2,102.7,0.857280154,0.944444444,54.8,2910.0,140.0,3.78,3.12,8.0,175.0,5000.0,24.0,16503.0
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.7,0.755886593,0.894444444,50.8,1918.0,92.0,2.97,3.23,9.4,68.0,5500.0,41.0,5389.0
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.7,0.755886593,0.894444444,50.8,1944.0,92.0,2.97,3.23,9.4,68.0,5500.0,38.0,6189.0
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.7,0.755886593,0.894444444,50.8,2004.0,92.0,2.97,3.23,9.4,68.0,5500.0,38.0,6669.0
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,1,1,2,1,0,2,93.0,0.755886593,0.886111111,50.8,2145.0,98.0,3.03,3.39,7.6,102.0,5500.0,30.0,7689.0
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,1,1,2,1,0,2,96.3,0.831331091,0.908333333,49.4,2370.0,110.0,3.17,3.46,7.5,116.0,5500.0,30.0,9959.0
mitsubishi,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,96.3,0.831331091,0.908333333,49.4,2328.0,122.0,3.35,3.46,8.5,88.0,5000.0,32.0,8499.0
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,1,1,2,1,0,2,95.9,0.832292167,0.920833333,50.2,2833.0,156.0,3.58,3.86,7.0,145.0,5000.0,24.0,12629.0
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,1,1,2,1,0,2,95.9,0.832292167,0.920833333,50.2,2921.0,156.0,3.59,3.86,7.0,145.0,5000.0,24.0,14869.0
mitsubishi,turbo,two,hatchback,fwd,front,ohc,four,spdi,1,1,2,1,0,2,95.9,0.832292167,0.920833333,50.2,2926.0,156.0,3.59,3.86,7.0,145.0,5000.0,24.0,14489.0
mitsubishi,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,96.3,0.828447862,0.908333333,51.6,2365.0,122.0,3.35,3.46,8.5,88.0,5000.0,32.0,6989.0
mitsubishi,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,96.3,0.828447862,0.908333333,51.6,2405.0,122.0,3.35,3.46,8.5,88.0,5000.0,32.0,8189.0
mitsubishi,turbo,four,sedan,fwd,front,ohc,four,spdi,1,0,3,1,0,2,96.3,0.828447862,0.908333333,51.6,2403.0,110.0,3.17,3.46,7.5,116.0,5500.0,30.0,9279.0
mitsubishi,std,four,sedan,fwd,front,ohc,four,spdi,0,0,3,1,0,2,96.3,0.828447862,0.908333333,51.6,2403.0,110.0,3.17,3.46,7.5,116.0,5500.0,30.0,9279.0
nissan,std,two,sedan,fwd,front,ohc,four,2bbl,0,1,3,1,0,2,94.5,0.794329649,0.886111111,54.5,1889.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,5499.0
nissan,std,two,sedan,fwd,front,ohc,four,idi,0,1,3,1,0,2,94.5,0.794329649,0.886111111,54.5,2017.0,103.0,2.99,3.47,21.9,55.0,4800.0,50.0,7099.0
nissan,std,two,sedan,fwd,front,ohc,four,2bbl,0,1,3,1,0,2,94.5,0.794329649,0.886111111,54.5,1918.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,6649.0
nissan,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,94.5,0.794329649,0.886111111,54.5,1938.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,6849.0
nissan,std,four,wagon,fwd,front,ohc,four,2bbl,0,0,4,1,0,2,94.5,0.817876021,0.886111111,53.5,2024.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,7349.0
nissan,std,two,sedan,fwd,front,ohc,four,2bbl,0,1,3,1,0,2,94.5,0.794329649,0.886111111,54.5,1951.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,7299.0
nissan,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,94.5,0.795771264,0.886111111,53.3,2028.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,7799.0
nissan,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,94.5,0.794329649,0.886111111,54.5,1971.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,7499.0
nissan,std,four,wagon,fwd,front,ohc,four,2bbl,0,0,4,1,0,2,94.5,0.817876021,0.886111111,53.5,2037.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,7999.0
nissan,std,two,hardtop,fwd,front,ohc,four,2bbl,0,1,1,1,0,2,95.1,0.780394041,0.886111111,53.3,2008.0,97.0,3.15,3.29,9.4,69.0,5200.0,37.0,8249.0
nissan,std,four,hatchback,fwd,front,ohc,four,2bbl,0,0,2,1,0,2,97.2,0.833253244,0.905555556,54.7,2324.0,120.0,3.33,3.47,8.5,97.0,5200.0,34.0,8949.0
nissan,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,97.2,0.833253244,0.905555556,54.7,2302.0,120.0,3.33,3.47,8.5,97.0,5200.0,34.0,9549.0
nissan,std,four,sedan,fwd,front,ohcv,six,mpfi,0,0,3,1,0,3,100.4,0.873137914,0.923611111,55.1,3095.0,181.0,3.43,3.27,9.0,152.0,5200.0,22.0,13499.0
nissan,std,four,wagon,fwd,front,ohcv,six,mpfi,0,0,4,1,0,3,100.4,0.887073522,0.923611111,56.1,3296.0,181.0,3.43,3.27,9.0,152.0,5200.0,22.0,14399.0
nissan,std,four,sedan,fwd,front,ohcv,six,mpfi,0,0,3,1,0,3,100.4,0.887073522,0.923611111,55.1,3060.0,181.0,3.43,3.27,9.0,152.0,5200.0,25.0,13499.0
nissan,std,two,hatchback,rwd,front,ohcv,six,mpfi,0,1,2,2,0,3,91.3,0.820278712,0.943055556,49.7,3071.0,181.0,3.43,3.27,9.0,160.0,5200.0,25.0,17199.0
nissan,turbo,two,hatchback,rwd,front,ohcv,six,mpfi,1,1,2,2,0,3,91.3,0.820278712,0.943055556,49.7,3139.0,181.0,3.43,3.27,7.8,200.0,5200.0,23.0,19699.0
nissan,std,two,hatchback,rwd,front,ohcv,six,mpfi,0,1,2,2,0,3,99.2,0.857760692,0.943055556,49.7,3139.0,181.0,3.43,3.27,9.0,160.0,5200.0,25.0,18399.0
peugot,std,four,sedan,rwd,front,l,four,mpfi,0,0,3,2,0,2,107.9,0.897164825,0.95,56.7,3020.0,120.0,3.46,3.19,8.4,97.0,5000.0,24.0,11900.0
peugot,turbo,four,sedan,rwd,front,l,four,idi,1,0,3,2,0,2,107.9,0.897164825,0.95,56.7,3197.0,152.0,3.7,3.52,21.0,95.0,4150.0,33.0,13200.0
peugot,std,four,wagon,rwd,front,l,four,mpfi,0,0,4,2,0,2,114.2,0.955790485,0.95,58.7,3230.0,120.0,3.46,3.19,8.4,97.0,5000.0,24.0,12440.0
peugot,turbo,four,wagon,rwd,front,l,four,idi,1,0,4,2,0,2,114.2,0.955790485,0.95,58.7,3430.0,152.0,3.7,3.52,21.0,95.0,4150.0,25.0,13860.0
peugot,std,four,sedan,rwd,front,l,four,mpfi,0,0,3,2,0,2,107.9,0.897164825,0.95,56.7,3075.0,120.0,3.46,2.19,8.4,95.0,5000.0,24.0,15580.0
peugot,turbo,four,sedan,rwd,front,l,four,idi,1,0,3,2,0,2,107.9,0.897164825,0.95,56.7,3252.0,152.0,3.7,3.52,21.0,95.0,4150.0,33.0,16900.0
peugot,std,four,wagon,rwd,front,l,four,mpfi,0,0,4,2,0,2,114.2,0.955790485,0.95,56.7,3285.0,120.0,3.46,2.19,8.4,95.0,5000.0,24.0,16695.0
peugot,turbo,four,wagon,rwd,front,l,four,idi,1,0,4,2,0,2,114.2,0.955790485,0.95,58.7,3485.0,152.0,3.7,3.52,21.0,95.0,4150.0,25.0,17075.0
peugot,std,four,sedan,rwd,front,l,four,mpfi,0,0,3,2,0,2,107.9,0.897164825,0.95,56.7,3075.0,120.0,3.46,3.19,8.4,97.0,5000.0,24.0,16630.0
peugot,turbo,four,sedan,rwd,front,l,four,idi,1,0,3,2,0,2,107.9,0.897164825,0.95,56.7,3252.0,152.0,3.7,3.52,21.0,95.0,4150.0,33.0,17950.0
peugot,turbo,four,sedan,rwd,front,l,four,mpfi,1,0,3,2,0,2,108.0,0.897164825,0.948611111,56.0,3130.0,134.0,3.61,3.21,7.0,142.0,5600.0,24.0,18150.0
plymouth,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,93.7,0.755886593,0.886111111,50.8,1918.0,90.0,2.97,3.23,9.4,68.0,5500.0,41.0,5572.0
plymouth,turbo,two,hatchback,fwd,front,ohc,four,spdi,1,1,2,1,0,2,93.7,0.755886593,0.886111111,50.8,2128.0,98.0,3.03,3.39,7.6,102.0,5500.0,30.0,7957.0
plymouth,std,four,hatchback,fwd,front,ohc,four,2bbl,0,0,2,1,0,2,93.7,0.755886593,0.886111111,50.6,1967.0,90.0,2.97,3.23,9.4,68.0,5500.0,38.0,6229.0
plymouth,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,93.7,0.803940413,0.886111111,50.8,1989.0,90.0,2.97,3.23,9.4,68.0,5500.0,38.0,6692.0
plymouth,std,four,sedan,fwd,front,ohc,four,2bbl,0,0,3,1,0,2,93.7,0.803940413,0.886111111,50.8,2191.0,98.0,2.97,3.23,9.4,68.0,5500.0,38.0,7609.0
plymouth,std,four,wagon,fwd,front,ohc,four,2bbl,0,0,4,1,0,2,103.3,0.839019702,0.897222222,59.8,2535.0,122.0,3.35,3.46,8.5,88.0,5000.0,30.0,8921.0
plymouth,turbo,two,hatchback,rwd,front,ohc,four,spdi,1,1,2,2,0,2,95.9,0.832292167,0.920833333,50.2,2818.0,156.0,3.59,3.86,7.0,145.0,5000.0,24.0,12764.0
porsche,std,two,hatchback,rwd,front,ohc,four,mpfi,0,1,2,2,0,2,94.5,0.811629025,0.948611111,50.2,2778.0,151.0,3.94,3.11,9.5,143.0,5500.0,27.0,22018.0
renault,std,four,wagon,fwd,front,ohc,four,mpfi,0,0,4,1,0,2,96.1,0.872176838,0.923611111,55.2,2579.0,132.0,3.46,3.9,8.7,103.39698492462311,5117.587939698493,31.0,9295.0
renault,std,two,hatchback,fwd,front,ohc,four,mpfi,0,1,2,1,0,2,96.1,0.849591543,0.925,50.5,2460.0,132.0,3.46,3.9,8.7,103.39698492462311,5117.587939698493,31.0,9895.0
saab,std,two,hatchback,fwd,front,ohc,four,mpfi,0,1,2,1,0,2,99.1,0.896684286,0.923611111,56.1,2658.0,121.0,3.54,3.07,9.31,110.0,5250.0,28.0,11850.0
saab,std,four,sedan,fwd,front,ohc,four,mpfi,0,0,3,1,0,2,99.1,0.896684286,0.923611111,56.1,2695.0,121.0,3.54,3.07,9.3,110.0,5250.0,28.0,12170.0
saab,std,two,hatchback,fwd,front,ohc,four,mpfi,0,1,2,1,0,2,99.1,0.896684286,0.923611111,56.1,2707.0,121.0,2.54,2.07,9.3,110.0,5250.0,28.0,15040.0
saab,std,four,sedan,fwd,front,ohc,four,mpfi,0,0,3,1,0,2,99.1,0.896684286,0.923611111,56.1,2758.0,121.0,3.54,3.07,9.3,110.0,5250.0,28.0,15510.0
saab,turbo,two,hatchback,fwd,front,dohc,four,mpfi,1,1,2,1,0,2,99.1,0.896684286,0.923611111,56.1,2808.0,121.0,3.54,3.07,9.0,160.0,5500.0,26.0,18150.0
saab,turbo,four,sedan,fwd,front,dohc,four,mpfi,1,0,3,1,0,2,99.1,0.896684286,0.923611111,56.1,2847.0,121.0,3.54,3.07,9.0,160.0,5500.0,26.0,18620.0
subaru,std,two,hatchback,fwd,front,ohcf,four,2bbl,0,1,2,1,0,2,93.7,0.75396444,0.880555556,53.7,2050.0,97.0,3.62,2.36,9.0,69.0,4900.0,36.0,5118.0
subaru,std,two,hatchback,fwd,front,ohcf,four,2bbl,0,1,2,1,0,2,93.7,0.758769822,0.883333333,53.7,2120.0,108.0,3.62,2.64,8.7,73.0,4400.0,31.0,7053.0
subaru,std,two,hatchback,4wd,front,ohcf,four,2bbl,0,1,2,0,0,2,93.3,0.755886593,0.886111111,55.7,2240.0,108.0,3.62,2.64,8.7,73.0,4400.0,31.0,7603.0
subaru,std,four,sedan,fwd,front,ohcf,four,2bbl,0,0,3,1,0,2,97.2,0.826525709,0.908333333,52.5,2145.0,108.0,3.62,2.64,9.5,82.0,4800.0,37.0,7126.0
subaru,std,four,sedan,fwd,front,ohcf,four,2bbl,0,0,3,1,0,2,97.2,0.826525709,0.908333333,52.5,2190.0,108.0,3.62,2.64,9.5,82.0,4400.0,33.0,7775.0
subaru,std,four,sedan,fwd,front,ohcf,four,mpfi,0,0,3,1,0,2,97.2,0.826525709,0.908333333,52.5,2340.0,108.0,3.62,2.64,9.0,94.0,5200.0,32.0,9960.0
subaru,std,four,sedan,4wd,front,ohcf,four,2bbl,0,0,3,0,0,2,97.0,0.826525709,0.908333333,54.3,2385.0,108.0,3.62,2.64,9.0,82.0,4800.0,25.0,9233.0
subaru,turbo,four,sedan,4wd,front,ohcf,four,mpfi,1,0,3,0,0,2,97.0,0.826525709,0.908333333,54.3,2510.0,108.0,3.62,2.64,7.7,111.0,4800.0,29.0,11259.0
subaru,std,four,wagon,fwd,front,ohcf,four,2bbl,0,0,4,1,0,2,97.0,0.833733782,0.908333333,53.0,2290.0,108.0,3.62,2.64,9.0,82.0,4800.0,32.0,7463.0
subaru,std,four,wagon,fwd,front,ohcf,four,mpfi,0,0,4,1,0,2,97.0,0.833733782,0.908333333,53.0,2455.0,108.0,3.62,2.64,9.0,94.0,5200.0,31.0,10198.0
subaru,std,four,wagon,4wd,front,ohcf,four,2bbl,0,0,4,0,0,2,96.9,0.83421432,0.908333333,54.9,2420.0,108.0,3.62,2.64,9.0,82.0,4800.0,29.0,8013.0
subaru,turbo,four,wagon,4wd,front,ohcf,four,mpfi,1,0,4,0,0,2,96.9,0.83421432,0.908333333,54.9,2650.0,108.0,3.62,2.64,7.7,111.0,4800.0,23.0,11694.0
toyota,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,95.7,0.762614128,0.883333333,54.5,1985.0,92.0,3.05,3.03,9.0,62.0,4800.0,39.0,5348.0
toyota,std,two,hatchback,fwd,front,ohc,four,2bbl,0,1,2,1,0,2,95.7,0.762614128,0.883333333,54.5,2040.0,92.0,3.05,3.03,9.0,62.0,4800.0,38.0,6338.0
toyota,std,four,hatchback,fwd,front,ohc,four,2bbl,0,0,2,1,0,2,95.7,0.762614128,0.883333333,54.5,2015.0,92.0,3.05,3.03,9.0,62.0,4800.0,38.0,6488.0
toyota,std,four,wagon,fwd,front,ohc,four,2bbl,0,0,4,1,0,2,95.7,0.81547333,0.883333333,59.1,2280.0,92.0,3.05,3.03,9.0,62.0,4800.0,37.0,6918.0
toyota,std,four,wagon,4wd,front,ohc,four,2bbl,0,0,4,0,0,2,95.7,0.81547333,0.883333333,59.1,2290.0,92.0,3.05,3.03,9.0,62.0,4800.0,32.0,7898.0
